author name,title,published_date,blog url,author url,author image url
Jason Fried,Demand Side Sales 101 a new book on sales by Bob Moesta.,September 22 2020,https://m.signalvnoise.com/demand-side-sales-101-a-new-book-on-sales-by-bob-moesta/,https://m.signalvnoise.com/author/jason-fried/,https://i0.wp.com/m.signalvnoise.com/wp-content/uploads/2019/01/0iogT6QBu33BhVdzo.png?fit=60%2C60&ssl=1
Ryan Singer,Options Not Roadmaps,September 11 2020,https://m.signalvnoise.com/options-not-roadmaps/,https://m.signalvnoise.com/author/ryan-singer/,https://secure.gravatar.com/avatar/ce2d815f489e336f822998bb822dc1de?s=60&d=retro&r=pg
Troy Toman,Inside a CODE RED: Network Edition,September 4 2020,https://m.signalvnoise.com/inside-a-code-red-network-edition/,https://m.signalvnoise.com/author/troy/,https://secure.gravatar.com/avatar/e999e4bcf8210bb1e9f461b45fdc22cd?s=60&d=retro&r=pg
Jeremy Daer,Three Basecamp outages. One week. What happened?,September 2 2020,https://m.signalvnoise.com/three-basecamp-outages-one-week-what-happened/,https://m.signalvnoise.com/author/jeremy-daer/,https://secure.gravatar.com/avatar/2f84d4b413ba801ff36127b833226d71?s=60&d=retro&r=pg
Navid Afshar,How Basecamp Became a 100% Remote Company,August 20 2020,https://m.signalvnoise.com/how-basecamp-became-a-100-remote-company/,https://m.signalvnoise.com/author/navid/,https://secure.gravatar.com/avatar/1a413df011e327ca7b6f3b5479e62ff4?s=60&d=retro&r=pg
Jeffrey Hardy,We’re hiring Rails programmers,August 5 2020,https://m.signalvnoise.com/were-hiring-rails-programmers/,https://m.signalvnoise.com/author/jeffreyhardy/,https://secure.gravatar.com/avatar/a8690962749dab81e68fa5e308d2bc69?s=60&d=retro&r=pg
Jason Fried,Remote work is a platform,July 24 2020,https://m.signalvnoise.com/remote-work-is-a-platform/,https://m.signalvnoise.com/author/jason-fried/,https://i0.wp.com/m.signalvnoise.com/wp-content/uploads/2019/01/0iogT6QBu33BhVdzo.png?fit=60%2C60&ssl=1
Jason Fried,Take a video tour of HEY,July 21 2020,https://m.signalvnoise.com/take-a-video-tour-of-hey/,https://m.signalvnoise.com/author/jason-fried/,https://i0.wp.com/m.signalvnoise.com/wp-content/uploads/2019/01/0iogT6QBu33BhVdzo.png?fit=60%2C60&ssl=1
DHH,Spy pixels are evolving like malware so HEY’s adapting,July 17 2020,https://m.signalvnoise.com/spy-pixels-are-evolving-like-malware-so-heys-adapting/,https://m.signalvnoise.com/author/dhh/,https://secure.gravatar.com/avatar/040ac7f6cb78ffc0021411fd5a38127b?s=60&d=retro&r=pg
DHH,On Apple’s monopoly power to destroy HEY,July 17 2020,https://m.signalvnoise.com/on-apples-monopoly-power-to-destroy-hey/,https://m.signalvnoise.com/author/dhh/,https://secure.gravatar.com/avatar/040ac7f6cb78ffc0021411fd5a38127b?s=60&d=retro&r=pg
